Name,Mandatory Parent,Attributes
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,NOSCRIPT,nonce
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,NOSCRIPT,nonce
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,HEAD,nonce
STYLE,NOSCRIPT,nonce
TABLE,,sortable
TH,,sorted
INPUT,,no-verify
INPUT,,[type]
INPUT,,inputmode
INPUT,,list
INPUT,,selectiondirection
INPUT,,[accept]
INPUT,,[accesskey]
INPUT,,[inputmode]
INPUT,,[selectiondirection]
INPUT,,no-verify
INPUT,,[type]
INPUT,,inputmode
INPUT,,list
INPUT,,selectiondirection
INPUT,,[accept]
INPUT,,[accesskey]
INPUT,,[inputmode]
INPUT,,[selectiondirection]
INPUT,,[type]
INPUT,,inputmode
INPUT,,list
INPUT,,selectiondirection
INPUT,,[accept]
INPUT,,[accesskey]
INPUT,,[inputmode]
INPUT,,[selectiondirection]
INPUT,,inputmode
INPUT,,list
INPUT,,selectiondirection
INPUT,,[accept]
INPUT,,[accesskey]
INPUT,,[inputmode]
INPUT,,[selectiondirection]
INPUT,,inputmode
INPUT,,list
INPUT,,selectiondirection
INPUT,,[accept]
INPUT,,[accesskey]
INPUT,,[inputmode]
INPUT,,[selectiondirection]
INPUT,,inputmode
INPUT,,list
INPUT,,selectiondirection
INPUT,,[accept]
INPUT,,[accesskey]
INPUT,,[inputmode]
INPUT,,[selectiondirection]
INPUT,,inputmode
INPUT,,list
INPUT,,selectiondirection
INPUT,,[accept]
INPUT,,[accesskey]
INPUT,,[inputmode]
INPUT,,[selectiondirection]
INPUT,,inputmode
INPUT,,list
INPUT,,selectiondirection
INPUT,,[accept]
INPUT,,[accesskey]
INPUT,,[inputmode]
INPUT,,[selectiondirection]
INPUT,,inputmode
INPUT,,list
INPUT,,selectiondirection
INPUT,,[accept]
INPUT,,[accesskey]
INPUT,,[inputmode]
INPUT,,[selectiondirection]
BUTTON,,[type]
SELECT,,autofocus
SELECT,,no-verify
SELECT,,[autofocus]
TEXTAREA,,autofocus
TEXTAREA,,no-verify
TEXTAREA,,selectiondirection
TEXTAREA,,selectionend
TEXTAREA,,selectionstart
TEXTAREA,,[autofocus]
TEXTAREA,,[selectiondirection]
TEXTAREA,,[selectionend]
TEXTAREA,,[selectionstart]
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
SCRIPT,,nonce
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
SCRIPT,AMP-AD-EXIT,nonce
SCRIPT,AMP-ANALYTICS,nonce
SCRIPT,AMP-ANIMATION,nonce
SCRIPT,AMP-AUTOCOMPLETE,nonce
SCRIPT,AMP-STATE,nonce
SCRIPT,AMP-CONSENT,nonce
SCRIPT,AMP-EXPERIMENT,nonce
SCRIPT,AMP-GEO,nonce
SCRIPT,AMP-LINK-REWRITER,nonce
SCRIPT,,nonce
SCRIPT,,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-BUTTON,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-INLINE-ASYNC,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-INLINE,nonce
SCRIPT,,nonce
SCRIPT,AMP-STORY-AUTO-ADS,nonce
SCRIPT,AMP-STORY-CONSENT,nonce
SCRIPT,AMP-EXPERIMENT,nonce
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
SCRIPT,,nonce
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
SCRIPT,AMP-AD-EXIT,nonce
SCRIPT,AMP-ANALYTICS,nonce
SCRIPT,AMP-ANIMATION,nonce
SCRIPT,AMP-AUTOCOMPLETE,nonce
SCRIPT,AMP-STATE,nonce
SCRIPT,AMP-CONSENT,nonce
SCRIPT,AMP-EXPERIMENT,nonce
SCRIPT,AMP-GEO,nonce
SCRIPT,AMP-LINK-REWRITER,nonce
SCRIPT,,nonce
SCRIPT,,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-BUTTON,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-INLINE-ASYNC,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-INLINE,nonce
SCRIPT,,nonce
SCRIPT,AMP-STORY-AUTO-ADS,nonce
SCRIPT,AMP-STORY-CONSENT,nonce
SCRIPT,AMP-EXPERIMENT,nonce
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
AMP-ACCORDION,,disable-session-states
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
SCRIPT,,nonce
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
SCRIPT,AMP-AD-EXIT,nonce
SCRIPT,AMP-ANALYTICS,nonce
SCRIPT,AMP-ANIMATION,nonce
SCRIPT,AMP-AUTOCOMPLETE,nonce
SCRIPT,AMP-STATE,nonce
SCRIPT,AMP-CONSENT,nonce
SCRIPT,AMP-EXPERIMENT,nonce
SCRIPT,AMP-GEO,nonce
SCRIPT,AMP-LINK-REWRITER,nonce
SCRIPT,,nonce
SCRIPT,,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-BUTTON,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-INLINE-ASYNC,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-INLINE,nonce
SCRIPT,,nonce
SCRIPT,AMP-STORY-AUTO-ADS,nonce
SCRIPT,AMP-STORY-CONSENT,nonce
SCRIPT,AMP-EXPERIMENT,nonce
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
AMP-CAROUSEL,,arrows
AMP-CAROUSEL,,dots
AMP-CAROUSEL,,arrows
AMP-CAROUSEL,,dots
AMP-LIGHTBOX,,scrollable
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
SCRIPT,,nonce
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
SCRIPT,AMP-AD-EXIT,nonce
SCRIPT,AMP-ANALYTICS,nonce
SCRIPT,AMP-ANIMATION,nonce
SCRIPT,AMP-AUTOCOMPLETE,nonce
SCRIPT,AMP-STATE,nonce
SCRIPT,AMP-CONSENT,nonce
SCRIPT,AMP-EXPERIMENT,nonce
SCRIPT,AMP-GEO,nonce
SCRIPT,AMP-LINK-REWRITER,nonce
SCRIPT,,nonce
SCRIPT,,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-BUTTON,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-INLINE-ASYNC,nonce
SCRIPT,AMP-PAYMENT-GOOGLE-INLINE,nonce
SCRIPT,,nonce
SCRIPT,AMP-STORY-AUTO-ADS,nonce
SCRIPT,AMP-STORY-CONSENT,nonce
SCRIPT,AMP-EXPERIMENT,nonce
SCRIPT,HEAD,nonce
SCRIPT,HEAD,nonce
